frame,x,y,area,dx,dy,displacement
40,428,189,837.5,,,
41,427,197,869.5,-1.0,8.0,8.06225774829855
42,409,195,1715.5,-18.0,-2.0,18.110770276274835
43,376,186,1152.5,-33.0,-9.0,34.20526275297414
44,396,204,2550.5,20.0,18.0,26.90724809414742
45,404,217,2805.0,8.0,13.0,15.264337522473747
46,395,218,3220.5,-9.0,1.0,9.055385138137417
47,383,228,3085.5,-12.0,10.0,15.620499351813308
48,395,234,4606.5,12.0,6.0,13.416407864998739
49,392,242,4718.5,-3.0,8.0,8.54400374531753
50,386,254,4514.5,-6.0,12.0,13.416407864998739
51,367,263,4026.0,-19.0,9.0,21.02379604162864
52,374,273,4916.5,7.0,10.0,12.206555615733702
53,371,282,5308.0,-3.0,9.0,9.486832980505138
54,367,297,5497.5,-4.0,15.0,15.524174696260024
55,364,311,6086.0,-3.0,14.0,14.317821063276353
56,361,327,6150.0,-3.0,16.0,16.278820596099706
57,355,342,6328.0,-6.0,15.0,16.15549442140351
58,349,353,6686.0,-6.0,11.0,12.529964086141668
59,344,370,6890.0,-5.0,17.0,17.72004514666935
60,343,383,7556.0,-1.0,13.0,13.038404810405298
61,336,401,7683.0,-7.0,18.0,19.313207915827967
62,332,417,8286.0,-4.0,16.0,16.492422502470642
63,327,438,8136.0,-5.0,21.0,21.587033144922902
64,325,455,9170.0,-2.0,17.0,17.11724276862369
65,341,519,4801.0,16.0,64.0,65.96969000988257
66,333,542,5123.5,-8.0,23.0,24.351591323771842
67,391,415,6183.5,58.0,-127.0,139.61733416735902
68,323,585,6432.5,-68.0,170.0,183.09560344257315
69,319,605,7113.5,-4.0,20.0,20.396078054371138
70,310,629,7738.0,-9.0,24.0,25.632011235952593
71,298,663,8597.5,-12.0,34.0,36.05551275463989
72,185,611,5922.5,-113.0,-52.0,124.39051410778879
73,174,635,6259.5,-11.0,24.0,26.40075756488817
74,290,557,13576.0,116.0,-78.0,139.7855500400524
75,349,613,12480.5,59.0,56.0,81.34494452638098
76,223,531,6853.5,-126.0,-82.0,150.33296378372907
77,221,567,7662.5,-2.0,36.0,36.05551275463989
78,195,591,7786.5,-26.0,24.0,35.38361202590826
79,183,628,8978.0,-12.0,37.0,38.897300677553446
80,168,665,10855.5,-15.0,37.0,39.92492955535426
81,176,684,9523.5,8.0,19.0,20.615528128088304
82,181,703,4635.5,5.0,19.0,19.6468827043885
