frame,x,y,area,dx,dy,displacement
40,730,476,958.5,,,
41,730,481,1300.5,0.0,5.0,5.0
45,543,483,838.5,-187.0,2.0,187.0106948813356
46,539,482,831.5,-4.0,-1.0,4.123105625617661
47,536,483,870.0,-3.0,1.0,3.1622776601683795
48,532,477,1075.5,-4.0,-6.0,7.211102550927978
49,528,475,988.0,-4.0,-2.0,4.47213595499958
50,524,472,894.5,-4.0,-3.0,5.0
53,515,459,869.0,-9.0,-13.0,15.811388300841896
54,511,464,1095.0,-4.0,5.0,6.4031242374328485
55,507,470,1702.0,-4.0,6.0,7.211102550927978
56,503,466,1860.0,-4.0,-4.0,5.656854249492381
57,498,465,2002.0,-5.0,-1.0,5.0990195135927845
58,493,465,1866.0,-5.0,0.0,5.0
59,489,466,1824.0,-4.0,1.0,4.123105625617661
60,485,467,1799.0,-4.0,1.0,4.123105625617661
61,481,459,1285.0,-4.0,-8.0,8.94427190999916
66,223,482,19857.0,-258.0,23.0,259.02316498722655
67,512,288,487062.0,289.0,-194.0,348.0761410955942
68,512,288,580170.5,0.0,0.0,0.0
69,392,436,122646.0,-120.0,148.0,190.53608582103286
70,618,488,1032.5,226.0,52.0,231.9051530259731
136,452,495,825.0,-166.0,7.0,166.14752480852673
152,176,475,2592.5,-276.0,-20.0,276.72368890284764
153,512,288,347311.0,336.0,-187.0,384.5321833084976
154,512,288,525855.5,0.0,0.0,0.0
155,510,288,278526.0,-2.0,0.0,2.0
156,398,495,1322.0,-112.0,207.0,235.35717537394095
157,395,497,974.0,-3.0,2.0,3.605551275463989
159,204,498,1275.0,-191.0,1.0,191.0026177831079
160,375,477,90084.5,171.0,-21.0,172.28464818433474
161,339,477,78511.0,-36.0,0.0,36.0
209,177,498,19115.5,-162.0,21.0,163.35544068074378
257,275,532,979.0,98.0,34.0,103.73041983911952
258,377,517,12046.5,102.0,-15.0,103.0970416646375
259,67,510,12195.5,-310.0,-7.0,310.0790221862808
263,450,393,151935.5,383.0,-117.0,400.4722212588534
264,512,288,588225.0,62.0,-105.0,121.93850909372314
265,512,288,588225.0,0.0,0.0,0.0
266,512,288,579974.5,0.0,0.0,0.0
269,300,528,1091.0,-212.0,240.0,320.22492095400696
270,342,495,72316.0,42.0,-33.0,53.41348144429457
271,359,494,89695.5,17.0,-1.0,17.029386365926403
272,67,511,13542.0,-292.0,17.0,292.4944443916841
277,127,536,1252.0,60.0,25.0,65.0
278,495,288,344142.5,368.0,-248.0,443.7657039474772
279,512,288,580635.5,17.0,0.0,17.0
280,512,288,487176.0,0.0,0.0,0.0
281,146,537,1220.0,-366.0,249.0,442.6703062099377
282,338,532,1297.5,192.0,-5.0,192.06509313251067
283,339,513,2572.5,1.0,-19.0,19.026297590440446
284,344,532,1608.5,5.0,19.0,19.6468827043885
285,350,532,1408.5,6.0,0.0,6.0
286,357,530,1206.5,7.0,-2.0,7.280109889280518
287,361,531,1056.0,4.0,1.0,4.123105625617661
288,365,532,937.0,4.0,1.0,4.123105625617661
314,422,525,936.0,57.0,-7.0,57.42821606144492
315,426,527,1021.0,4.0,2.0,4.47213595499958
316,430,528,971.0,4.0,1.0,4.123105625617661
317,434,525,901.0,4.0,-3.0,5.0
319,443,525,942.0,9.0,0.0,9.0
321,267,530,1017.0,-176.0,5.0,176.07100840286
355,374,512,1809.0,107.0,-18.0,108.50345616615168
356,378,516,1797.0,4.0,4.0,5.656854249492381
357,384,512,2013.5,6.0,-4.0,7.211102550927978
358,390,511,2100.5,6.0,-1.0,6.082762530298219
359,396,512,2087.0,6.0,1.0,6.082762530298219
360,402,512,2014.0,6.0,0.0,6.0
361,407,511,2061.0,5.0,-1.0,5.0990195135927845
362,412,523,1640.0,5.0,12.0,13.0
363,416,531,1330.0,4.0,8.0,8.94427190999916
364,420,529,941.5,4.0,-2.0,4.47213595499958
378,158,541,12322.5,-262.0,12.0,262.2746651889961
379,483,288,371973.5,325.0,-253.0,411.86648321998723
380,512,288,485035.0,29.0,0.0,29.0
381,453,288,230820.0,-59.0,0.0,59.0
463,128,533,4860.0,-325.0,245.0,407.0012284993744
464,192,525,8029.0,64.0,-8.0,64.4980619863884
