frame,x,y,area,dx,dy,displacement
13,15,876,983.0,,,
15,40,873,1885.0,25.0,-3.0,25.179356624028344
17,80,872,2065.5,40.0,-1.0,40.01249804748511
19,34,1169,3857.0,-46.0,297.0,300.54117854297436
20,154,780,3910.0,120.0,-389.0,407.0884424790269
21,63,1141,7893.5,-91.0,361.0,372.29289544658246
22,190,789,3819.0,127.0,-352.0,374.2098341839776
23,72,1100,11466.5,-118.0,311.0,332.63343187358663
24,224,801,3691.5,152.0,-299.0,335.41765010207797
25,226,814,6271.5,2.0,13.0,13.152946437965905
26,45,465,4564.5,-181.0,-349.0,393.14373961694974
27,64,471,8192.5,19.0,6.0,19.924858845171276
28,88,469,4517.5,24.0,-2.0,24.08318915758459
29,51,842,10704.5,-37.0,373.0,374.83062841768947
30,122,481,4669.0,71.0,-361.0,367.9157512257392
31,167,663,10929.0,45.0,182.0,187.48066566982314
32,25,1063,5260.5,-142.0,400.0,424.45730056155236
33,167,620,21642.5,142.0,-443.0,465.20210661603846
34,155,568,6831.0,-12.0,-52.0,53.36665625650534
35,132,583,23307.5,-23.0,15.0,27.459060435491963
36,183,1132,7212.0,51.0,549.0,551.3637637712511
37,147,574,25072.5,-36.0,-558.0,559.1600844123265
38,186,508,7420.0,39.0,-66.0,76.66159403508382
39,161,598,28088.0,-25.0,90.0,93.40770846134703
40,190,582,17506.0,29.0,-16.0,33.12099032335839
41,175,638,28282.5,-15.0,56.0,57.97413216254298
42,214,605,17595.5,39.0,-33.0,51.088159097779204
43,190,672,28523.5,-24.0,67.0,71.16881339463234
44,241,628,14734.0,51.0,-44.0,67.35725647619564
45,210,682,26102.0,-31.0,54.0,62.26556030423239
46,293,600,6658.0,83.0,-82.0,116.67476162392619
47,254,670,19075.0,-39.0,70.0,80.1311425102625
48,287,606,3316.5,33.0,-64.0,72.00694410957877
49,285,685,16442.0,-2.0,79.0,79.02531240052139
50,404,649,1240.5,119.0,-36.0,124.32618388738553
51,314,623,3319.0,-90.0,-26.0,93.68030742904295
53,423,652,1554.0,109.0,29.0,112.79184367674819
57,344,620,3531.5,-79.0,-32.0,85.23496934944014
59,401,676,8489.5,57.0,56.0,79.90619500389191
60,404,668,3941.5,3.0,-8.0,8.54400374531753
61,304,667,21621.0,-100.0,-1.0,100.00499987500625
62,395,640,6969.5,91.0,-27.0,94.92101980067429
63,289,635,23605.5,-106.0,-5.0,106.1178590059185
64,376,620,8956.0,87.0,-15.0,88.28363381737297
65,277,681,30638.0,-99.0,61.0,116.2841347734075
66,353,601,9383.0,76.0,-80.0,110.34491379306978
67,254,664,31501.0,-99.0,63.0,117.34564329364768
68,324,620,10716.5,70.0,-44.0,82.68010643437755
69,309,589,13962.5,-15.0,-31.0,34.438350715445125
70,293,579,9371.0,-16.0,-10.0,18.867962264113206
71,275,602,18345.0,-18.0,23.0,29.206163733020468
72,265,594,10836.5,-10.0,-8.0,12.806248474865697
73,262,601,16425.0,-3.0,7.0,7.615773105863909
74,268,666,5470.5,6.0,65.0,65.27633568147036
75,234,564,13407.5,-34.0,-102.0,107.5174404457249
76,240,601,1922.5,6.0,37.0,37.48332962798263
77,208,1003,7813.5,-32.0,402.0,403.27162062312294
78,229,566,1975.0,21.0,-437.0,437.50428569329466
79,192,970,6187.0,-37.0,404.0,405.69076893614425
80,194,934,2663.0,2.0,-36.0,36.05551275463989
81,178,946,6142.0,-16.0,12.0,20.0
82,176,937,1129.0,-2.0,-9.0,9.219544457292887
83,167,961,3122.0,-9.0,24.0,25.632011235952593
105,241,524,7666.5,74.0,-437.0,443.22116375462036
106,245,522,5400.5,4.0,-2.0,4.47213595499958
107,250,550,10379.5,5.0,28.0,28.442925306655784
108,256,572,8357.5,6.0,22.0,22.80350850198276
109,262,598,12839.5,6.0,26.0,26.68332812825267
110,265,619,9280.0,3.0,21.0,21.213203435596427
111,266,646,11129.5,1.0,27.0,27.018512172212592
112,258,696,8235.0,-8.0,50.0,50.635955604688654
113,239,728,10063.5,-19.0,32.0,37.21558813185679
114,229,748,8711.5,-10.0,20.0,22.360679774997898
115,69,1010,16365.5,-160.0,262.0,306.9918565695188
116,210,717,4791.5,141.0,-293.0,325.16149833582693
117,50,1011,19995.5,-160.0,294.0,334.7177915797127
118,33,1160,3164.0,-17.0,149.0,149.96666296213968
119,40,1055,9312.5,7.0,-105.0,105.23307464861035
120,32,775,2079.0,-8.0,-280.0,280.11426240018557
121,115,453,7811.5,83.0,-322.0,332.52518701596125
122,140,426,894.0,25.0,-27.0,36.796738985948195
123,90,409,6013.5,-50.0,-17.0,52.81098370604357
124,109,485,1470.5,19.0,76.0,78.33900688673555
125,62,444,11700.0,-47.0,-41.0,62.369864518050704
126,75,450,3430.0,13.0,6.0,14.317821063276353
127,44,448,9695.5,-31.0,-2.0,31.064449134018133
128,36,448,5379.0,-8.0,0.0,8.0
129,47,451,6626.5,11.0,3.0,11.40175425099138
130,15,456,2628.0,-32.0,5.0,32.38826948140329
131,161,695,10177.0,146.0,239.0,280.0660636349931
132,163,716,6252.5,2.0,21.0,21.095023109728988
133,84,1015,24596.5,-79.0,299.0,309.2604080706096
134,62,1019,17798.5,-22.0,4.0,22.360679774997898
135,53,1093,17489.5,-9.0,74.0,74.54528824815154
136,32,1110,6784.5,-21.0,17.0,27.018512172212592
137,20,1170,2450.5,-12.0,60.0,61.18823416311342
