frame,x,y,area,dx,dy,displacement
240,593,329,7918.5,,,
241,417,332,27151.5,-176.0,3.0,176.02556632489498
242,357,326,34601.5,-60.0,-6.0,60.29925372672534
243,325,316,37665.0,-32.0,-10.0,33.52610922848042
244,309,303,39678.5,-16.0,-13.0,20.615528128088304
245,296,288,39607.0,-13.0,-15.0,19.849433241279208
246,280,273,37915.5,-16.0,-15.0,21.93171219946131
247,263,258,36224.0,-17.0,-15.0,22.67156809750927
248,248,245,34100.5,-15.0,-13.0,19.849433241279208
249,230,231,31731.5,-18.0,-14.0,22.80350850198276
250,213,219,29383.0,-17.0,-12.0,20.808652046684813
251,195,205,28125.5,-18.0,-14.0,22.80350850198276
252,176,188,27775.0,-19.0,-17.0,25.495097567963924
253,153,161,27455.5,-23.0,-27.0,35.4682957019364
254,127,119,25986.5,-26.0,-42.0,49.39635614091387
255,95,89,11866.5,-32.0,-30.0,43.86342439892262
256,55,37,5288.5,-40.0,-52.0,65.60487786742691
