frame,x_old,y_old,x_new,y_new,dx,dy,displacement
0,770.0,239.0,771.51385,238.8071,1.513855,-0.19290161,1.5260956
0,811.0,239.0,812.5252,238.92796,1.5252075,-0.07203674,1.5269077
0,814.0,448.0,810.92194,447.95645,-3.078064,-0.043548584,3.078372
0,646.0,414.0,642.9676,413.91064,-3.0324097,-0.08935547,3.0337257
0,667.0,498.0,663.7796,498.01053,-3.220398,0.010528564,3.220415
0,823.0,229.0,824.53204,228.96526,1.5320435,-0.034744263,1.5324374
0,780.0,223.0,781.51666,223.00485,1.5166626,0.004852295,1.5166705
0,669.0,450.0,665.87823,450.03833,-3.1217651,0.038330078,3.1220005
0,834.0,252.0,835.5891,251.94511,1.5891113,-0.054885864,1.5900588
0,776.0,413.0,773.38104,412.99884,-2.6189575,-0.001159668,2.6189578
0,818.0,466.0,814.96356,465.44794,-3.036438,-0.552063,3.086216
0,809.0,219.0,810.5154,218.95453,1.5153809,-0.04547119,1.5160629
0,810.0,496.0,806.96155,496.02435,-3.0384521,0.024353027,3.0385497
0,930.0,421.0,931.6829,421.00894,1.6829224,0.00894165,1.6829461
0,865.0,377.0,866.4864,376.95517,1.4863892,-0.044830322,1.4870651
0,995.0,424.0,996.44196,424.16663,1.4419556,0.16662598,1.451551
0,746.0,250.0,747.18823,249.9036,1.1882324,-0.09640503,1.1921368
0,920.0,456.0,921.39813,456.00995,1.3981323,0.0099487305,1.3981677
0,842.0,490.0,838.7453,490.00586,-3.2546997,0.005859375,3.254705
0,978.0,424.0,979.44855,424.0055,1.4485474,0.005493164,1.4485579
1,771.51385,238.8071,773.5926,238.6881,2.0787354,-0.119003296,2.0821388
1,812.5252,238.92796,814.55444,238.6345,2.0292358,-0.29345703,2.0503452
1,810.92194,447.95645,805.43933,447.97467,-5.482605,0.018218994,5.4826355
1,642.9676,413.91064,637.99677,413.91028,-4.970825,-0.00036621094,4.970825
1,663.7796,498.01053,658.46216,498.2586,-5.317444,0.2480774,5.3232274
1,824.53204,228.96526,826.60394,228.6469,2.0718994,-0.31835938,2.0962155
1,781.51666,223.00485,783.5977,222.67395,2.0810547,-0.3309021,2.1071982
1,665.87823,450.03833,660.1837,449.98355,-5.694519,-0.054779053,5.6947827
1,835.5891,251.94511,837.72656,251.73276,2.1374512,-0.21235657,2.1479743
1,773.38104,412.99884,768.2988,412.907,-5.0822144,-0.09182739,5.083044
1,814.96356,465.44794,809.48486,465.54242,-5.4786987,0.09448242,5.479513
1,810.5154,218.95453,812.54315,218.62015,2.027771,-0.3343811,2.055156
1,806.96155,496.02435,801.4778,496.23413,-5.4837646,0.20977783,5.487776
1,931.6829,421.00894,933.9507,421.0149,2.2677612,0.0059509277,2.267769
1,866.4864,376.95517,868.68933,376.93985,2.202942,-0.015319824,2.202995
1,996.44196,424.16663,999.18726,424.2954,2.7453003,0.12878418,2.7483194
1,747.18823,249.9036,749.5441,249.71817,2.355896,-0.1854248,2.3631818
1,921.39813,456.00995,924.05914,456.1839,2.6610107,0.1739502,2.6666903
1,838.7453,490.00586,833.1948,490.0453,-5.550476,0.03942871,5.5506163
1,979.44855,424.0055,981.8382,424.28198,2.3896484,0.27648926,2.4055905
2,773.5926,238.6881,774.9326,238.6183,1.3400269,-0.0697937,1.3418431
2,814.55444,238.6345,816.0732,238.56404,1.5187378,-0.07046509,1.5203717
2,805.43933,447.97467,801.74554,448.11023,-3.6937866,0.13555908,3.696273
2,637.99677,413.91028,634.5573,413.9608,-3.4394531,0.05050659,3.4398239
2,658.46216,498.2586,654.48975,498.3204,-3.972412,0.061798096,3.9728928
2,826.60394,228.6469,828.19867,228.6306,1.5947266,-0.016296387,1.5948099
2,783.5977,222.67395,784.9472,222.53835,1.3494873,-0.13560486,1.3562834
2,660.1837,449.98355,656.1688,449.99078,-4.0148926,0.007232666,4.014899
2,837.72656,251.73276,839.2209,251.56207,1.4943237,-0.17068481,1.5040401
2,768.2988,412.907,764.9805,412.89014,-3.3182983,-0.01687622,3.3183413
2,809.48486,465.54242,805.77435,465.63892,-3.7105103,0.09649658,3.7117648
2,812.54315,218.62015,813.97894,218.54219,1.435791,-0.07795715,1.4379058
2,801.4778,496.23413,797.767,496.4754,-3.7107544,0.24127197,3.7185898
2,933.9507,421.0149,935.86426,421.0188,1.9135742,0.00390625,1.9135782
2,868.68933,376.93985,870.0824,376.93408,1.3930664,-0.0057678223,1.3930783
2,999.18726,424.2954,1001.1386,424.4944,1.951355,0.19897461,1.9614732
2,749.5441,249.71817,750.7817,249.72174,1.2375488,0.0035705566,1.237554
2,924.05914,456.1839,925.8581,456.20212,1.7989502,0.018218994,1.7990425
