frame,x_old,y_old,x_new,y_new,dx,dy,displacement
0,963.0,299.0,963.9193,298.99268,0.9193115,-0.0073242188,0.91934067
0,1013.0,299.0,1013.8896,298.98743,0.8895874,-0.012573242,0.8896762
0,807.0,517.0,805.1663,516.92395,-1.8336792,-0.076049805,1.8352555
0,1017.0,560.0,1015.16406,560.03015,-1.8359375,0.030151367,1.8361851
0,979.0,287.0,979.9046,286.99036,0.90460205,-0.009643555,0.90465343
0,833.0,623.0,831.1485,622.99817,-1.8515015,-0.0018310547,1.8515024
0,1030.0,286.0,1030.9191,286.0027,0.9190674,0.0026855469,0.9190713
0,836.0,562.0,833.8181,561.95654,-2.1818848,-0.04345703,2.1823175
0,1042.0,316.0,1042.8638,315.88165,0.86376953,-0.11834717,0.87183934
0,1162.0,526.0,1162.9601,525.97015,0.960083,-0.029846191,0.9605468
0,1014.0,620.0,1012.0875,620.0963,-1.9124756,0.09631348,1.9148993
0,970.0,514.0,968.3248,514.0034,-1.6751709,0.0034179688,1.6751745
0,1016.0,274.0,1016.8592,274.00565,0.8591919,0.005645752,0.8592105
0,1244.0,529.0,1244.901,528.99493,0.901001,-0.005065918,0.9010152
0,1149.0,571.0,1149.9545,570.9888,0.9544678,-0.011230469,0.9545338
0,1082.0,474.0,1082.8365,473.8444,0.83654785,-0.15560913,0.8508975
0,1021.0,582.0,1019.11646,581.8457,-1.8835449,-0.15429688,1.8898542
0,963.0,273.0,963.9205,273.01056,0.9204712,0.010559082,0.92053175
0,937.0,318.0,937.91895,318.00125,0.9189453,0.0012512207,0.91894615
0,1052.0,613.0,1050.0195,612.974,-1.9804688,-0.026000977,1.9806395
0,1047.0,260.0,1047.8583,260.00256,0.85827637,0.0025634766,0.8582802
1,963.9193,298.99268,964.79266,299.00607,0.87335205,0.013397217,0.8734548
1,1013.8896,298.98743,1014.8024,298.989,0.9128418,0.0015869141,0.91284317
1,805.1663,516.92395,803.3759,516.93945,-1.7904053,0.01550293,1.7904724
1,1015.16406,560.03015,1013.2719,560.0286,-1.8921509,-0.0015258789,1.8921515
1,979.9046,286.99036,980.826,287.01654,0.9213867,0.026184082,0.9217587
1,831.1485,622.99817,828.94727,622.9953,-2.201233,-0.0028686523,2.2012348
1,1030.9191,286.0027,1031.8032,286.00708,0.8841553,0.0043945312,0.8841662
1,833.8181,561.95654,831.954,562.01276,-1.8641357,0.05621338,1.8649831
1,1042.8638,315.88165,1043.8667,316.02008,1.0029297,0.13842773,1.0124377
1,1162.9601,525.97015,1164.1566,525.986,1.1965332,0.01586914,1.1966385
1,1012.0875,620.0963,1010.1979,620.0937,-1.8896484,-0.0026245117,1.8896502
1,968.3248,514.0034,966.5992,513.9901,-1.725647,-0.013305664,1.7256984
1,1016.8592,274.00565,1017.86975,273.9577,1.0105591,-0.047943115,1.0116957
1,1244.901,528.99493,1246.2054,529.00397,1.3044434,0.009033203,1.3044746
1,1149.9545,570.9888,1150.827,570.9986,0.8725586,0.00982666,0.8726139
1,1082.8365,473.8444,1083.7903,473.82697,0.95373535,-0.017425537,0.9538945
1,1019.11646,581.8457,1017.2417,581.8644,-1.8747559,0.018676758,1.8748488
1,963.9205,273.01056,964.8325,273.01004,0.91204834,-0.0005187988,0.9120485
1,937.91895,318.00125,938.9095,318.0065,0.99053955,0.0052490234,0.99055344
1,1050.0195,612.974,1048.1243,612.9939,-1.8952637,0.019897461,1.8953681
1,1047.8583,260.00256,1048.801,259.98816,0.942749,-0.014404297,0.94285905
2,964.79266,299.00607,965.6023,298.70657,0.80963135,-0.2994995,0.8632513
2,1014.8024,298.989,1015.6846,298.721,0.8821411,-0.26800537,0.92195433
2,803.3759,516.93945,801.5202,516.91223,-1.8557129,-0.02722168,1.8559126
2,1013.2719,560.0286,1011.14734,560.0811,-2.1245728,0.052490234,2.125221
2,980.826,287.01654,981.71484,286.75058,0.888855,-0.2659607,0.9277922
2,828.94727,622.9953,826.89197,623.0658,-2.0552979,0.070495605,2.0565064
2,1031.8032,286.00708,1032.7195,285.7538,0.91625977,-0.25326538,0.9506184
2,831.954,562.01276,829.73254,562.02277,-2.2214355,0.010009766,2.221458
2,1043.8667,316.02008,1044.7837,315.6941,0.9169922,-0.32598877,0.9732129
2,1164.1566,525.986,1165.0968,525.9871,0.94018555,0.0010986328,0.9401862
2,1010.1979,620.0937,1008.3103,620.22797,-1.8875732,0.13427734,1.8923433
2,966.5992,513.9901,964.7839,514.0502,-1.8153076,0.060058594,1.8163009
2,1017.86975,273.9577,1018.82495,273.67786,0.9552002,-0.2798462,0.9953498
2,1246.2054,529.00397,1247.3549,529.25256,1.1494141,0.24859619,1.1759901
2,1150.827,570.9986,1152.0767,571.0306,1.2496338,0.031982422,1.250043
