scenario,method,detections,mean_displacement,median_displacement,p95_displacement,max_displacement,mean_area,mean_points_per_frame
real_normal_1,frame_difference,42,50.801602309293166,21.213203435596427,239.20702330826325,280.4353757998445,13342.416666666666,
real_normal_1,lucas_kanade,269,3.193415641784668,2.275784969329834,5.426818251609801,211.5730743408203,,8.899628252788103
real_normal_2,frame_difference,52,43.77704251415686,13.92838827718412,217.6524354942511,384.1874542459709,1464.5192307692307,
real_normal_2,lucas_kanade,336,3.575200319290161,2.557518720626831,9.966279792785645,21.27149772644043,,46.61607142857143
real_noisy_1,frame_difference,17,87.51623463413361,9.326762794674746,268.2893690141525,286.41927309453183,1723.2058823529412,
real_noisy_1,lucas_kanade,239,3.9769303798675537,2.7882933616638184,11.638374328613281,71.11419677734375,,45.32635983263598
real_noisy_2,frame_difference,48,49.291446304187666,12.0,284.3929294469067,415.70181620964803,1317.5520833333333,
real_noisy_2,lucas_kanade,336,3.3323938846588135,2.1183881759643555,9.813187599182125,328.1086730957031,,50.0
real_light_change_1,frame_difference,57,92.79633176059704,14.328633524841603,408.53793952692956,529.2806438931997,77317.74561403508,
real_light_change_1,lucas_kanade,166,8.960187911987305,2.6711065769195557,12.31245069503783,849.0489501953125,,13.975903614457831
real_light_change_2,frame_difference,29,22.4713285005971,8.154234499766936,89.73268482603206,113.6001760562016,1435.948275862069,
real_light_change_2,lucas_kanade,238,3.924835443496704,3.050168752670288,9.968890285491938,73.59534454345703,,41.878151260504204
real_fast_1,frame_difference,143,63.472097822303525,17.26267650163207,264.5618647600138,1000.0129999155012,11835.765734265735,
real_fast_1,lucas_kanade,254,6.92289924621582,2.7654829025268555,20.54394187927246,643.2662963867188,,9.0748031496063
real_fast_2,frame_difference,51,42.79836016636507,13.818569678176821,206.7626376675819,361.763735053695,1429.8431372549019,
real_fast_2,lucas_kanade,336,3.6076409816741943,2.6236565113067627,9.97648239135742,27.008817672729492,,47.038690476190474
