frame,x,y,area,dx,dy,displacement
0,576,225,1753.0,,,
1,577,224,3390.5,1.0,-1.0,1.4142135623730951
2,574,223,2811.5,-3.0,-1.0,3.1622776601683795
3,546,219,820.0,-28.0,-4.0,28.284271247461902
4,568,221,3567.5,22.0,2.0,22.090722034374522
5,565,218,2811.5,-3.0,-3.0,4.242640687119285
6,562,216,4465.0,-3.0,-2.0,3.605551275463989
7,559,213,4465.0,-3.0,-3.0,4.242640687119285
8,556,209,4168.0,-3.0,-4.0,5.0
9,553,206,4465.0,-3.0,-3.0,4.242640687119285
10,556,226,661.0,3.0,20.0,20.223748416156685
11,548,198,4168.0,-8.0,-28.0,29.120439557122072
12,545,194,4168.0,-3.0,-4.0,5.0
13,542,190,4181.0,-3.0,-4.0,5.0
14,539,185,4168.0,-3.0,-5.0,5.830951894845301
15,536,181,4168.0,-3.0,-4.0,5.0
16,533,177,4168.0,-3.0,-4.0,5.0
17,530,173,4159.0,-3.0,-4.0,5.0
18,527,168,4168.0,-3.0,-5.0,5.830951894845301
19,524,164,4168.0,-3.0,-4.0,5.0
20,521,160,4151.0,-3.0,-4.0,5.0
21,513,133,679.0,-8.0,-27.0,28.160255680657446
22,516,153,4465.0,3.0,20.0,20.223748416156685
23,513,149,4168.0,-3.0,-4.0,5.0
24,510,146,4465.0,-3.0,-3.0,4.242640687119285
25,507,143,2811.5,-3.0,-3.0,4.242640687119285
26,504,141,2811.5,-3.0,-2.0,3.605551275463989
27,501,139,2811.5,-3.0,-2.0,3.605551275463989
28,522,141,828.0,21.0,2.0,21.095023109728988
29,519,140,828.0,-3.0,-1.0,3.1622776601683795
30,492,136,3390.5,-27.0,-4.0,27.294688127912362
32,487,136,3390.5,-5.0,0.0,5.0
33,456,137,722.5,-31.0,1.0,31.016124838541646
34,453,138,722.5,-3.0,1.0,3.1622776601683795
35,478,139,2806.0,25.0,1.0,25.019992006393608
36,475,141,2806.0,-3.0,2.0,3.605551275463989
37,472,144,4448.0,-3.0,3.0,4.242640687119285
38,469,147,4458.0,-3.0,3.0,4.242640687119285
39,466,150,4465.0,-3.0,3.0,4.242640687119285
40,463,153,4168.0,-3.0,3.0,4.242640687119285
41,460,157,4465.0,-3.0,4.0,5.0
42,452,184,661.0,-8.0,27.0,28.160255680657446
43,455,165,4181.0,3.0,-19.0,19.235384061671343
44,452,169,4168.0,-3.0,4.0,5.0
45,449,173,4168.0,-3.0,4.0,5.0
46,446,178,4181.0,-3.0,5.0,5.830951894845301
47,443,182,4458.0,-3.0,4.0,5.0
48,440,186,4181.0,-3.0,4.0,5.0
49,437,190,4168.0,-3.0,4.0,5.0
50,434,195,4181.0,-3.0,5.0,5.830951894845301
51,431,199,4168.0,-3.0,4.0,5.0
52,428,203,2771.0,-3.0,4.0,5.0
53,426,206,4168.0,-2.0,3.0,3.605551275463989
54,423,210,4465.0,-3.0,4.0,5.0
55,420,213,4465.0,-3.0,3.0,4.242640687119285
