frame,x,y,area,dx,dy,displacement
0,601,229,739.5,,,
1,573,223,3248.0,-28.0,-6.0,28.635642126552707
2,568,220,3928.0,-5.0,-3.0,5.830951894845301
3,563,216,3889.0,-5.0,-4.0,6.4031242374328485
4,558,210,4394.5,-5.0,-6.0,7.810249675906654
5,553,206,4035.5,-5.0,-4.0,6.4031242374328485
6,547,197,4012.0,-6.0,-9.0,10.816653826391969
7,542,189,4012.0,-5.0,-8.0,9.433981132056603
8,536,180,4454.5,-6.0,-9.0,10.816653826391969
9,531,174,4431.5,-5.0,-6.0,7.810249675906654
10,525,167,4169.5,-6.0,-7.0,9.219544457292887
11,521,159,4339.0,-4.0,-8.0,8.94427190999916
12,517,154,4035.5,-4.0,-5.0,6.4031242374328485
13,510,146,4144.5,-7.0,-8.0,10.63014581273465
14,505,142,3928.0,-5.0,-4.0,6.4031242374328485
15,500,139,4181.0,-5.0,-3.0,5.830951894845301
16,518,141,739.5,18.0,2.0,18.110770276274835
17,463,137,952.5,-55.0,-4.0,55.14526271584895
18,507,132,739.5,44.0,-5.0,44.28317965096906
19,479,139,4181.0,-28.0,7.0,28.861739379323623
20,474,142,3928.0,-5.0,3.0,5.830951894845301
21,470,147,4409.5,-4.0,5.0,6.4031242374328485
22,463,155,4065.0,-7.0,8.0,10.63014581273465
23,459,160,4288.5,-4.0,5.0,6.4031242374328485
24,451,168,4217.5,-8.0,8.0,11.313708498984761
25,448,176,4308.0,-3.0,8.0,8.54400374531753
26,442,183,4258.0,-6.0,7.0,9.219544457292887
27,438,190,4217.5,-4.0,7.0,8.06225774829855
28,433,196,4085.0,-5.0,6.0,7.810249675906654
29,427,205,4284.5,-6.0,9.0,10.816653826391969
30,423,210,4332.0,-4.0,5.0,6.4031242374328485
31,416,216,3911.0,-7.0,6.0,9.219544457292887
32,411,220,3928.0,-5.0,4.0,6.4031242374328485
33,406,223,3301.0,-5.0,3.0,5.830951894845301
34,426,224,1033.0,20.0,1.0,20.024984394500787
35,395,224,3202.5,-31.0,0.0,31.0
36,390,223,4181.0,-5.0,-1.0,5.0990195135927845
37,385,220,4181.0,-5.0,-3.0,5.830951894845301
38,379,216,4048.0,-6.0,-4.0,7.211102550927978
39,374,210,4581.0,-5.0,-6.0,7.810249675906654
40,370,205,4179.5,-4.0,-5.0,6.4031242374328485
41,364,197,3986.0,-6.0,-8.0,10.0
42,359,189,4012.0,-5.0,-8.0,9.433981132056603
43,352,180,4258.0,-7.0,-9.0,11.40175425099138
44,349,174,4347.0,-3.0,-6.0,6.708203932499369
45,341,165,4117.0,-8.0,-9.0,12.041594578792296
46,338,159,3986.0,-3.0,-6.0,6.708203932499369
47,332,152,4144.5,-6.0,-7.0,9.219544457292887
48,326,146,4409.5,-6.0,-6.0,8.48528137423857
49,322,141,3928.0,-4.0,-5.0,6.4031242374328485
50,317,138,3252.0,-5.0,-3.0,5.830951894845301
51,335,141,721.5,18.0,3.0,18.24828759089466
52,331,136,872.0,-4.0,-5.0,6.4031242374328485
53,301,137,723.5,-30.0,1.0,30.01666203960727
54,296,139,4181.0,-5.0,2.0,5.385164807134504
55,291,143,3889.0,-5.0,4.0,6.4031242374328485
56,285,148,3956.0,-6.0,5.0,7.810249675906654
57,278,155,4194.0,-7.0,7.0,9.899494936611665
58,275,161,4264.0,-3.0,6.0,6.708203932499369
59,270,168,4425.5,-5.0,7.0,8.602325267042627
60,266,176,4347.0,-4.0,8.0,8.94427190999916
61,261,184,4448.5,-5.0,8.0,9.433981132056603
62,255,191,4326.5,-6.0,7.0,9.219544457292887
63,250,197,4194.0,-5.0,6.0,7.810249675906654
64,244,206,3986.0,-6.0,9.0,10.816653826391969
65,238,212,3956.0,-6.0,6.0,8.48528137423857
66,233,217,3889.0,-5.0,5.0,7.0710678118654755
67,228,221,4159.0,-5.0,4.0,6.4031242374328485
68,223,223,3296.5,-5.0,2.0,5.385164807134504
69,243,224,1033.0,20.0,1.0,20.024984394500787
70,235,228,721.5,-8.0,4.0,8.94427190999916
71,207,222,3261.0,-28.0,-6.0,28.635642126552707
72,202,219,3928.0,-5.0,-3.0,5.830951894845301
73,197,215,3889.0,-5.0,-4.0,6.4031242374328485
74,190,210,4208.5,-7.0,-5.0,8.602325267042627
75,186,204,4095.0,-4.0,-6.0,7.211102550927978
76,179,194,4179.5,-7.0,-10.0,12.206555615733702
77,176,188,4423.0,-3.0,-6.0,6.708203932499369
78,170,181,4639.0,-6.0,-7.0,9.219544457292887
79,166,173,4332.5,-4.0,-8.0,8.94427190999916
80,158,164,4232.0,-8.0,-9.0,12.041594578792296
81,155,158,3986.0,-3.0,-6.0,6.708203932499369
82,151,152,4099.5,-4.0,-6.0,7.211102550927978
83,144,146,3889.0,-7.0,-6.0,9.219544457292887
84,139,141,3928.0,-5.0,-5.0,7.0710678118654755
85,134,138,3256.5,-5.0,-3.0,5.830951894845301
86,106,132,739.5,-28.0,-6.0,28.635642126552707
87,149,136,1033.0,43.0,4.0,43.18564576337837
88,118,137,3292.0,-31.0,1.0,31.016124838541646
89,113,140,4181.0,-5.0,3.0,5.830951894845301
90,108,143,3928.0,-5.0,3.0,5.830951894845301
91,102,148,4020.0,-6.0,5.0,7.810249675906654
92,97,154,3956.0,-5.0,6.0,7.810249675906654
93,92,161,4012.0,-5.0,7.0,8.602325267042627
94,87,170,4095.0,-5.0,9.0,10.295630140987
95,83,176,4341.0,-4.0,6.0,7.211102550927978
96,75,185,4414.0,-8.0,9.0,12.041594578792296
97,71,192,4264.0,-4.0,7.0,8.06225774829855
98,66,199,4417.0,-5.0,7.0,8.602325267042627
99,62,208,4383.5,-4.0,9.0,9.848857801796104
100,60,221,1609.0,-2.0,13.0,13.152946437965905
101,60,243,528.0,0.0,22.0,22.0
102,60,221,3374.0,0.0,-22.0,22.0
107,60,245,528.0,0.0,24.0,24.0
108,60,215,3184.0,0.0,-30.0,30.0
109,60,219,1770.0,0.0,4.0,4.0
110,60,204,3685.5,0.0,-15.0,15.0
111,60,195,2962.5,0.0,-9.0,9.0
112,60,187,2962.5,0.0,-8.0,8.0
113,60,178,3685.5,0.0,-9.0,9.0
114,60,173,3215.5,0.0,-5.0,5.0
115,60,165,3524.5,0.0,-8.0,8.0
116,60,158,3524.5,0.0,-7.0,7.0
117,60,160,1610.5,0.0,2.0,2.0
118,60,146,3184.0,0.0,-14.0,14.0
119,60,167,528.0,0.0,21.0,21.0
120,60,138,3388.0,0.0,-29.0,29.0
124,60,140,3388.0,0.0,2.0,2.0
125,60,144,3184.0,0.0,4.0,4.0
126,60,149,3184.0,0.0,5.0,5.0
127,60,155,3520.0,0.0,6.0,6.0
128,60,160,3602.0,0.0,5.0,5.0
129,60,171,3123.5,0.0,11.0,11.0
130,61,175,3615.5,1.0,4.0,4.123105625617661
131,61,183,3042.0,0.0,8.0,8.0
132,60,192,3296.0,-1.0,9.0,9.055385138137417
133,60,200,3685.5,0.0,8.0,8.0
134,60,207,3766.0,0.0,7.0,7.0
135,60,213,3184.0,0.0,6.0,6.0
136,60,218,3184.0,0.0,5.0,5.0
137,60,222,3374.0,0.0,4.0,4.0
141,60,222,3374.0,0.0,0.0,0.0
142,60,244,528.0,0.0,22.0,22.0
143,60,214,3184.0,0.0,-30.0,30.0
144,60,218,1689.5,0.0,4.0,4.0
145,60,202,3520.0,0.0,-16.0,16.0
146,60,195,3121.5,0.0,-7.0,7.0
147,60,187,3121.5,0.0,-8.0,8.0
148,61,177,3694.5,1.0,-10.0,10.04987562112089
149,60,173,3150.5,-1.0,-4.0,4.123105625617661
150,61,162,3600.5,1.0,-11.0,11.045361017187261
151,60,157,3520.0,-1.0,-5.0,5.0990195135927845
152,60,160,1691.0,0.0,3.0,3.0
153,60,145,3184.0,0.0,-15.0,15.0
154,60,141,3388.0,0.0,-4.0,4.0
155,60,138,3388.0,0.0,-3.0,3.0
159,60,166,528.0,0.0,28.0,28.0
160,60,170,528.0,0.0,4.0,4.0
161,60,158,1609.0,0.0,-12.0,12.0
162,60,156,3524.5,0.0,-2.0,2.0
163,60,163,3524.5,0.0,7.0,7.0
164,60,171,3230.0,0.0,8.0,8.0
165,60,176,3712.5,0.0,5.0,5.0
166,59,184,3042.0,-1.0,8.0,8.06225774829855
167,60,193,3123.5,1.0,9.0,9.055385138137417
168,60,201,3766.0,0.0,8.0,8.0
169,60,217,1770.0,0.0,16.0,16.0
