frame,x,y,area,dx,dy,displacement
0,61,185,3277.0,,,
1,64,193,3254.0,3.0,8.0,8.54400374531753
2,67,202,3374.0,3.0,9.0,9.486832980505138
3,70,210,3249.0,3.0,8.0,8.54400374531753
4,73,218,3224.0,3.0,8.0,8.54400374531753
5,76,226,3106.0,3.0,8.0,8.54400374531753
6,79,232,2884.0,3.0,6.0,6.708203932499369
7,82,238,2752.0,3.0,6.0,6.708203932499369
8,85,242,2456.0,3.0,4.0,5.0
9,88,246,2515.5,3.0,4.0,5.0
11,93,264,417.0,5.0,18.0,18.681541692269406
12,72,249,419.0,-21.0,-15.0,25.80697580112788
13,99,248,2227.5,27.0,-1.0,27.018512172212592
14,102,246,2232.0,3.0,-2.0,3.605551275463989
15,105,243,2494.0,3.0,-3.0,4.242640687119285
16,108,239,2761.0,3.0,-4.0,5.0
17,111,233,2893.0,3.0,-6.0,6.708203932499369
18,113,227,3126.0,2.0,-6.0,6.324555320336759
19,117,220,3123.0,4.0,-7.0,8.06225774829855
20,119,212,3272.0,2.0,-8.0,8.246211251235321
21,122,204,3273.0,3.0,-8.0,8.54400374531753
22,125,195,3385.0,3.0,-9.0,9.486832980505138
23,128,186,3376.0,3.0,-9.0,9.486832980505138
24,131,177,3254.0,3.0,-9.0,9.486832980505138
25,134,169,3374.0,3.0,-8.0,8.54400374531753
26,137,160,3361.5,3.0,-9.0,9.486832980505138
27,140,151,3197.5,3.0,-9.0,9.486832980505138
28,143,143,3251.0,3.0,-8.0,8.54400374531753
29,146,136,3101.0,3.0,-7.0,7.615773105863909
30,149,129,2900.0,3.0,-7.0,7.615773105863909
31,151,124,2593.0,2.0,-5.0,5.385164807134504
32,153,119,2470.0,2.0,-5.0,5.385164807134504
33,157,115,2465.0,4.0,-4.0,5.656854249492381
34,160,112,2213.5,3.0,-3.0,4.242640687119285
35,163,97,404.5,3.0,-15.0,15.297058540778355
36,166,96,418.0,3.0,-1.0,3.1622776601683795
37,168,112,1965.5,2.0,16.0,16.1245154965971
38,172,114,2504.0,4.0,2.0,4.47213595499958
39,175,117,2488.0,3.0,3.0,4.242640687119285
40,177,121,2497.0,2.0,4.0,4.47213595499958
41,181,126,2924.0,4.0,5.0,6.4031242374328485
42,183,133,3026.0,2.0,7.0,7.280109889280518
43,186,140,3136.5,3.0,7.0,7.615773105863909
44,189,147,3259.0,3.0,7.0,7.615773105863909
45,192,156,3370.0,3.0,9.0,9.486832980505138
46,195,164,3253.0,3.0,8.0,8.54400374531753
47,198,173,3377.0,3.0,9.0,9.486832980505138
48,201,182,3374.0,3.0,9.0,9.486832980505138
49,204,191,3381.0,3.0,9.0,9.486832980505138
50,207,199,3252.0,3.0,8.0,8.54400374531753
51,210,208,3393.0,3.0,9.0,9.486832980505138
52,212,216,3074.5,2.0,8.0,8.246211251235321
53,215,223,3258.0,3.0,7.0,7.615773105863909
54,218,230,2899.0,3.0,7.0,7.615773105863909
55,221,236,2743.0,3.0,6.0,6.708203932499369
56,224,241,2737.5,3.0,5.0,5.830951894845301
57,227,245,2526.5,3.0,4.0,5.0
58,230,247,2193.5,3.0,2.0,3.605551275463989
59,233,249,1859.0,3.0,2.0,3.605551275463989
60,236,264,417.0,3.0,15.0,15.297058540778355
61,239,249,1952.5,3.0,-15.0,15.297058540778355
62,241,247,2161.0,2.0,-2.0,2.8284271247461903
63,244,244,1897.0,3.0,-3.0,4.242640687119285
64,247,240,2755.0,3.0,-4.0,5.0
65,250,235,2755.0,3.0,-5.0,5.830951894845301
66,253,229,3122.0,3.0,-6.0,6.708203932499369
67,256,222,3124.0,3.0,-7.0,7.615773105863909
68,259,214,3215.0,3.0,-8.0,8.54400374531753
69,262,206,3244.0,3.0,-8.0,8.54400374531753
70,265,198,3350.0,3.0,-8.0,8.54400374531753
71,268,189,3395.0,3.0,-9.0,9.486832980505138
72,270,180,3218.5,2.0,-9.0,9.219544457292887
73,273,172,3287.0,3.0,-8.0,8.54400374531753
74,276,163,3338.5,3.0,-9.0,9.486832980505138
75,279,154,3235.0,3.0,-9.0,9.486832980505138
76,282,146,3262.0,3.0,-8.0,8.54400374531753
77,285,139,3083.0,3.0,-7.0,7.615773105863909
78,288,132,3131.0,3.0,-7.0,7.615773105863909
79,291,126,2762.0,3.0,-6.0,6.708203932499369
80,294,121,2760.0,3.0,-5.0,5.830951894845301
81,297,116,2482.0,3.0,-5.0,5.830951894845301
82,300,113,2225.0,3.0,-3.0,4.242640687119285
83,303,112,1957.0,3.0,-1.0,3.1622776601683795
85,308,112,1965.5,5.0,0.0,5.0
86,311,113,2138.0,3.0,1.0,3.1622776601683795
87,314,116,2540.5,3.0,3.0,4.242640687119285
88,317,120,2763.0,3.0,4.0,5.0
89,320,125,2757.0,3.0,5.0,5.830951894845301
90,323,130,2906.0,3.0,5.0,5.830951894845301
91,326,137,3221.0,3.0,7.0,7.615773105863909
92,329,145,3100.0,3.0,8.0,8.54400374531753
93,332,153,3372.0,3.0,8.0,8.54400374531753
94,334,161,3271.0,2.0,8.0,8.246211251235321
95,337,170,3381.0,3.0,9.0,9.486832980505138
96,340,179,3394.0,3.0,9.0,9.486832980505138
97,343,188,3360.0,3.0,9.0,9.486832980505138
98,346,196,3250.0,3.0,8.0,8.54400374531753
99,349,205,3371.0,3.0,9.0,9.486832980505138
100,352,213,3236.0,3.0,8.0,8.54400374531753
101,355,221,3115.0,3.0,8.0,8.54400374531753
102,358,228,3084.0,3.0,7.0,7.615773105863909
103,360,234,2914.0,2.0,6.0,6.324555320336759
104,364,239,2457.0,4.0,5.0,6.4031242374328485
105,366,243,1892.5,2.0,4.0,4.47213595499958
106,369,247,2516.5,3.0,4.0,5.0
107,372,249,1884.0,3.0,2.0,3.605551275463989
108,375,264,417.0,3.0,15.0,15.297058540778355
109,378,264,418.0,3.0,0.0,3.0
110,381,248,2208.5,3.0,-16.0,16.278820596099706
111,384,245,2503.0,3.0,-3.0,4.242640687119285
112,387,241,2494.0,3.0,-4.0,5.0
113,390,237,2754.0,3.0,-4.0,5.0
114,393,231,2899.0,3.0,-6.0,6.708203932499369
115,395,225,3018.5,2.0,-6.0,6.324555320336759
116,398,217,3254.0,3.0,-8.0,8.54400374531753
117,401,209,3215.0,3.0,-8.0,8.54400374531753
118,404,201,3378.0,3.0,-8.0,8.54400374531753
119,407,192,3373.0,3.0,-9.0,9.486832980505138
120,410,183,3224.5,3.0,-9.0,9.486832980505138
121,413,175,3360.5,3.0,-8.0,8.54400374531753
