frame,x_old,y_old,x_new,y_new,dx,dy,displacement
0,82.0,176.0,86.99897,191.99939,4.99897,15.99939,16.762165
0,38.0,176.0,42.999283,191.99986,4.999283,15.999863,16.76271
0,56.0,202.0,60.999958,218.00008,4.999958,16.000076,16.763115
0,56.0,158.0,60.999535,173.99977,4.9995346,15.999771,16.762697
0,53.0,180.0,57.998684,195.99963,4.998684,15.999634,16.762312
0,73.0,200.0,78.00062,215.9995,5.000618,15.999496,16.762758
0,73.0,160.0,77.998566,176.00052,4.9985657,16.000519,16.763123
0,40.0,193.0,45.000164,209.00098,5.000164,16.000977,16.764036
1,86.99897,191.99939,91.99912,206.99829,5.0001526,14.998901,15.810394
1,42.999283,191.99986,47.999554,206.99997,5.000271,15.000107,15.811576
1,60.999958,218.00008,66.000275,233.00125,5.0003166,15.001175,15.812603
1,60.999535,173.99977,65.99945,188.99947,4.999916,14.999695,15.811072
1,57.998684,195.99963,62.997414,210.99994,4.9987297,15.000305,15.811276
1,78.00062,215.9995,83.00319,230.99939,5.002571,14.999893,15.8121
1,77.998566,176.00052,82.99979,190.99928,5.0012207,14.998764,15.810602
1,45.000164,209.00098,49.999657,224.00113,4.9994926,15.000153,15.811373
2,91.99912,206.99829,96.99925,220.99875,5.0001297,14.000458,14.866544
2,47.999554,206.99997,52.99996,220.99959,5.000408,13.999619,14.865847
2,66.000275,233.00125,70.999794,247.00061,4.9995193,13.999359,14.865304
2,65.99945,188.99947,70.99936,202.99979,4.9999084,14.00032,14.86634
2,62.997414,210.99994,67.99707,224.99937,4.9996567,13.999435,14.865421
2,83.00319,230.99939,88.001686,244.9974,4.998497,13.998016,14.863695
2,82.99979,190.99928,88.00178,205.00124,5.0019913,14.001953,14.868578
2,49.999657,224.00113,55.00079,238.00299,5.001133,14.001862,14.868203
3,96.99925,220.99875,101.9969,231.99751,4.99765,10.998764,12.080948
3,52.99996,220.99959,57.99829,231.99976,4.998329,11.000168,12.082507
