frame,x_old,y_old,x_new,y_new,dx,dy,displacement
0,82.0,176.0,84.00065,184.99974,2.0006485,8.999741,9.219432
0,38.0,176.0,39.99836,184.9985,1.9983597,8.998505,9.217729
0,56.0,202.0,58.0001,210.99928,2.0000992,8.999283,9.218865
0,56.0,158.0,57.999992,167.00021,1.9999924,9.000214,9.219751
0,53.0,180.0,54.999966,188.99991,1.9999657,8.999908,9.219448
0,73.0,200.0,75.00136,209.00041,2.001358,9.000412,9.220242
0,73.0,160.0,75.000175,169.00046,2.0001755,9.000458,9.22003
0,40.0,193.0,41.999863,201.99931,1.9998627,8.999313,9.218844
1,84.00065,184.99974,87.00175,193.00102,3.0010986,8.001282,8.545589
1,39.99836,184.9985,42.997177,192.99847,2.9988174,7.9999695,8.54356
1,58.0001,210.99928,60.999737,219.00072,2.9996376,8.001434,8.545219
1,57.999992,167.00021,61.00021,174.99991,3.0002174,7.999695,8.543795
1,54.999966,188.99991,58.000046,196.9999,3.00008,7.9999847,8.544018
1,75.00136,209.00041,78.0028,216.99945,3.001442,7.9990387,8.54361
1,75.000175,169.00046,77.99718,177.00131,2.9970016,8.0008545,8.543752
1,41.999863,201.99931,45.000053,210.00223,3.0001907,8.002914,8.5468
2,87.00175,193.00102,90.00211,202.00151,3.0003662,9.000488,9.487412
2,42.997177,192.99847,45.996983,201.99893,2.9998055,9.000458,9.4872055
2,60.999737,219.00072,63.999935,228.00024,3.0001984,8.999527,9.486447
2,61.00021,174.99991,63.999744,184.00406,2.9995346,9.00415,9.490623
2,58.000046,196.9999,61.00054,205.99979,3.000496,8.999893,9.486889
2,78.0028,216.99945,81.00112,225.99982,2.9983215,9.000366,9.4866495
2,77.99718,177.00131,81.00156,186.00851,3.0043793,9.007202,9.49505
2,45.000053,210.00223,48.00083,219.00107,3.0007782,8.99884,9.485979
3,90.00211,202.00151,93.000404,210.00145,2.998291,7.999939,8.543346
3,45.996983,201.99893,48.99703,209.99905,3.0000458,8.000122,8.544134
3,63.999935,228.00024,66.99977,236.00104,2.999836,8.000793,8.544689
3,63.999744,184.00406,66.999344,192.00146,2.9995995,7.997406,8.541434
3,61.00054,205.99979,63.99884,213.9998,2.9982986,8.000015,8.543421
3,81.00112,225.99982,84.00232,233.99918,3.0011978,7.999359,8.543824
3,81.00156,186.00851,84.00478,194.0102,3.0032272,8.001678,8.546708
3,48.00083,219.00107,51.000484,227.00214,2.9996529,8.001068,8.544882
4,93.000404,210.00145,95.99996,218.0014,2.9995575,7.999954,8.543805
4,48.99703,209.99905,51.997185,217.99907,3.0001564,8.000015,8.544073
4,66.99977,236.00104,70.00021,243.99916,3.0004425,7.998123,8.542401
4,66.999344,192.00146,69.99977,200.00296,3.0004272,8.001495,8.545554
4,63.99884,213.9998,66.99947,221.99965,3.0006332,7.9998474,8.544084
4,84.00232,233.99918,87.001465,241.99994,2.9991455,8.000763,8.544418
4,84.00478,194.0102,87.003586,202.00873,2.9988022,7.998535,8.542212
4,51.000484,227.00214,54.00083,235.00131,3.0003471,7.999176,8.543354
5,95.99996,218.0014,99.00049,225.00137,3.0005264,6.9999695,7.6159525
5,51.997185,217.99907,54.997143,224.99919,2.999958,7.000122,7.6158686
5,70.00021,243.99916,73.00009,251.00069,2.999878,7.001526,7.6171274
5,69.99977,200.00296,72.9996,207.00217,2.9998322,6.9992065,7.614978
5,66.99947,221.99965,69.99845,228.99947,2.9989777,6.999817,7.615202
5,87.001465,241.99994,90.01447,248.99638,3.013008,6.9964447,7.617641
5,87.003586,202.00873,90.00482,209.00748,3.001236,6.998749,7.61511
5,54.00083,235.00131,56.998104,242.00325,2.9972725,7.001938,7.6164804
6,99.00049,225.00137,101.99905,231.00092,2.998558,5.999542,6.7071495
6,54.997143,224.99919,57.99595,230.9984,2.998806,5.9992065,6.70696
6,73.00009,251.00069,76.00051,256.99878,3.0004196,5.9980927,6.7066855
6,72.9996,207.00217,75.99992,213.00237,3.0003204,6.0001984,6.7085247
6,69.99845,228.99947,72.99831,234.99988,2.999855,6.000412,6.7085075
6,90.01447,248.99638,93.012665,254.99806,2.9981918,6.0016785,6.708897
6,90.00482,209.00748,93.0029,215.0066,2.9980774,5.9991302,6.7065663
6,56.998104,242.00325,59.997738,248.00206,2.9996338,5.99881,6.7069755
7,101.99905,231.00092,105.000145,236.00165,3.0010986,5.0007324,5.832145
7,57.99595,230.9984,60.995216,235.99818,2.9992676,4.9997864,5.830392
7,76.00051,256.99878,79.00043,262.00134,2.999916,5.0025635,5.833107
7,75.99992,213.00237,78.999886,218.00243,2.9999619,5.000061,5.8309846
7,72.99831,234.99988,75.99861,239.99974,3.0003052,4.9998627,5.8309913
7,93.012665,254.99806,96.01348,259.99854,3.0008163,5.000473,5.8317776
7,93.0029,215.0066,96.00485,220.00755,3.0019531,5.000946,5.832768
7,59.997738,248.00206,62.99753,253.00412,2.999794,5.00206,5.8326125
8,105.000145,236.00165,108.000046,240.0016,2.9999008,3.9999542,4.9999037
8,60.995216,235.99818,63.996185,239.99866,3.000969,4.000473,5.00096
8,79.00043,262.00134,82.00088,265.99976,3.0004501,3.998413,4.999001
8,78.999886,218.00243,81.99994,222.00314,3.0000534,4.000717,5.0006056
