frame,x_old,y_old,x_new,y_new,dx,dy,displacement
0,38.0,176.0,40.006042,185.01372,2.0060425,9.013718,9.234247
0,56.0,158.0,57.987324,166.9687,1.9873238,8.968704,9.186246
0,64.0,202.0,65.99371,210.96762,1.9937134,8.967621,9.186572
0,82.0,176.0,83.98968,185.00378,1.9896774,9.003784,9.221005
0,60.0,187.0,61.98765,195.96977,1.9876518,8.969772,9.18736
0,39.0,193.0,41.02675,202.02364,2.0267487,9.023636,9.248444
0,80.0,193.0,82.00741,201.9587,2.0074081,8.958694,9.180844
0,73.0,160.0,74.95201,168.96713,1.9520111,8.967133,9.177135
1,40.006042,185.01372,42.98698,193.00694,2.980938,7.993225,8.530981
1,57.987324,166.9687,61.008217,174.97156,3.020893,8.002853,8.554031
1,65.99371,210.96762,69.00383,218.9947,3.0101166,8.027084,8.572915
1,83.98968,185.00378,86.980934,192.99947,2.9912567,7.995682,8.536893
1,61.98765,195.96977,65.0255,203.98595,3.0378456,8.016174,8.572489
1,41.02675,202.02364,44.0238,210.05984,2.9970512,8.036209,8.576886
1,82.00741,201.9587,85.00333,209.97885,2.9959183,8.020157,8.561451
1,74.95201,168.96713,77.97046,176.9718,3.0184479,8.004669,8.554868
2,42.98698,193.00694,46.000156,202.01784,3.013176,9.010895,9.50134
2,61.008217,174.97156,64.00729,183.95367,2.9990768,8.982117,9.469577
2,69.00383,218.9947,72.00555,227.97758,3.0017166,8.98288,9.471136
2,86.980934,192.99947,89.994576,202.00102,3.0136414,9.001556,9.492631
2,65.0255,203.98595,67.99316,212.98785,2.967659,9.001907,9.478467
2,44.0238,210.05984,47.02747,219.04784,3.0036697,8.987991,9.4766035
2,85.00333,209.97885,87.9995,218.9834,2.99617,9.004547,9.489937
2,77.97046,176.9718,80.967735,185.97145,2.9972763,8.999649,9.485639
3,46.000156,202.01784,48.988766,210.01993,2.9886093,8.00209,8.541969
3,64.00729,183.95367,66.980934,191.97385,2.9736404,8.020172,8.553695
3,72.00555,227.97758,75.005135,235.99191,2.999588,8.014328,8.557277
3,89.994576,202.00102,92.98886,209.99663,2.9942856,7.9956055,8.537884
3,67.99316,212.98785,70.97925,220.9789,2.9860916,7.991043,8.53074
3,47.02747,219.04784,49.998066,227.04073,2.9705963,7.9928894,8.527059
3,87.9995,218.9834,91.012344,226.98384,3.012848,8.0004425,8.548938
3,80.967735,185.97145,83.98658,193.976,3.0188446,8.004547,8.5548935
4,48.988766,210.01993,51.97612,218.02495,2.9873543,8.00502,8.544274
4,66.980934,191.97385,69.99491,199.98248,3.013977,8.008636,8.557004
4,75.005135,235.99191,78.00345,243.98384,2.998314,7.991928,8.535854
4,92.98886,209.99663,96.009186,218.00122,3.0203247,8.004593,8.555458
4,70.97925,220.9789,73.991165,228.98213,3.011917,8.003235,8.551223
4,49.998066,227.04073,52.9856,235.01306,2.9875336,7.972336,8.513724
4,91.012344,226.98384,94.02819,234.97005,3.0158463,7.986206,8.5366745
4,83.98658,193.976,87.04131,202.01617,3.0547333,8.040176,8.600921
5,51.97612,218.02495,54.98852,225.00943,3.0124016,6.984482,7.606415
5,69.99491,199.98248,72.998856,207.00511,3.0039444,7.022629,7.638128
5,78.00345,243.98384,81.0014,250.98386,2.9979553,7.0000153,7.614982
5,96.009186,218.00122,98.985794,225.00485,2.9766083,7.0036316,7.609931
5,73.991165,228.98213,76.99073,235.97539,2.9995651,6.9932556,7.609403
5,52.9856,235.01306,56.00815,242.04692,3.0225487,7.0338593,7.655781
5,94.02819,234.97005,97.03761,241.96619,3.0094223,6.9961395,7.615943
5,87.04131,202.01617,90.029305,209.04456,2.9879913,7.0283813,7.6371617
6,54.98852,225.00943,58.00356,231.01286,3.0150375,6.003433,6.71801
6,72.998856,207.00511,75.99336,212.99374,2.9945068,5.988632,6.6955795
6,81.0014,250.98386,83.98952,257.00198,2.9881134,6.0181274,6.7191277
6,98.985794,225.00485,101.9995,231.00482,3.0137024,5.9999695,6.714316
6,76.99073,235.97539,79.98625,241.97633,2.9955215,6.000946,6.7070484
6,56.00815,242.04692,58.99276,248.01979,2.9846115,5.97287,6.6770563
6,97.03761,241.96619,100.01692,247.98334,2.979309,6.017151,6.7143416
6,90.029305,209.04456,93.041664,215.03629,3.0123596,5.9917297,6.7063503
7,58.00356,231.01286,60.99758,236.00911,2.9940224,4.9962463,5.8246584
7,75.99336,212.99374,79.000496,217.9961,3.0071335,5.00235,5.836639
7,83.98952,257.00198,86.98765,261.99524,2.9981308,4.9932556,5.8242073
7,101.9995,231.00482,104.99607,235.9964,2.9965744,4.991577,5.821967
7,79.98625,241.97633,82.984314,246.986,2.9980621,5.009659,5.838241
7,58.99276,248.01979,62.022697,253.04953,3.0299377,5.0297394,5.8718653
7,100.01692,247.98334,103.02607,252.98582,3.0091476,5.002487,5.837795
7,93.041664,215.03629,95.949425,219.95656,2.9077606,4.920273,5.7152567
8,60.99758,236.00911,63.978996,240.01982,2.9814148,4.0107117,4.9974637
8,79.000496,217.9961,81.99486,221.97359,2.9943619,3.9774933,4.97862
8,86.98765,261.99524,89.990105,266.00424,3.0024567,4.0090027,5.008677
8,104.99607,235.9964,107.974556,240.0003,2.978485,4.0039062,4.9902544
8,82.984314,246.986,85.97991,250.96057,2.9955978,3.9745789,4.9770355
8,62.022697,253.04953,65.010544,257.04468,2.9878464,3.9951477,4.9888306
8,103.02607,252.98582,105.97881,257.03992,2.9527435,4.0540924,5.0154123
8,95.949425,219.95656,99.013565,224.02539,3.0641403,4.0688324,5.0935597
9,63.978996,240.01982,66.98665,243.02519,3.0076523,3.005371,4.25185
9,81.99486,221.97359,84.99406,224.98457,2.999199,3.0109863,4.249851
9,89.990105,266.00424,93.01684,268.98468,3.0267334,2.9804382,4.247838
9,107.974556,240.0003,110.98845,243.00967,3.0138931,3.009369,4.2590904
9,85.97991,250.96057,88.99046,253.97383,3.0105515,3.01326,4.259478
9,65.010544,257.04468,68.032555,260.10608,3.0220108,3.0614014,4.301712
9,105.97881,257.03992,109.01281,260.00995,3.0339966,2.9700317,4.24573
9,99.013565,224.02539,101.99916,227.00853,2.9855957,2.983139,4.2205334
10,66.98665,243.02519,68.95778,245.01534,1.9711304,1.9901428,2.8010755
10,84.99406,224.98457,86.99552,226.96368,2.0014648,1.9791107,2.8147364
10,93.01684,268.98468,94.99897,270.97116,1.982132,1.9864807,2.8062346
10,110.98845,243.00967,113.00223,244.99731,2.0137787,1.9876404,2.829491
10,88.99046,253.97383,90.99462,255.98846,2.004158,2.0146332,2.8417242
10,68.032555,260.10608,70.02113,262.0758,1.9885788,1.9697266,2.7989764
10,109.01281,260.00995,111.02235,261.99518,2.0095367,1.9852295,2.8247786
10,101.99916,227.00853,103.98217,229.00296,1.9830093,1.9944305,2.8124862
11,68.95778,245.01534,71.956856,245.02678,2.9990768,0.011444092,2.9990985
11,86.99552,226.96368,89.99754,226.9514,3.0020218,-0.012283325,3.0020468
11,94.99897,270.97116,98.035225,271.00177,3.036255,0.03060913,3.0364091
11,113.00223,244.99731,116.00236,244.99092,3.0001297,-0.0063934326,3.0001366
11,90.99462,255.98846,93.99349,255.9952,2.9988708,0.006729126,2.9988782
11,70.02113,262.0758,73.01146,262.02954,2.990326,-0.04626465,2.9906838
11,111.02235,261.99518,113.99035,262.02307,2.9680023,0.027893066,2.9681334
11,103.98217,229.00296,107.00657,228.97708,3.0243988,-0.025878906,3.0245094
12,71.956856,245.02678,74.99446,245.04018,3.0376053,0.013397217,3.0376348
12,89.99754,226.9514,92.97627,226.98018,2.9787292,0.028778076,2.9788682
12,98.035225,271.00177,101.00645,270.9722,2.971222,-0.029571533,2.971369
12,116.00236,244.99092,118.99378,244.9954,2.9914246,0.004486084,2.991428
12,93.99349,255.9952,96.99031,255.9924,2.9968185,-0.0027923584,2.99682
12,73.01146,262.02954,76.03205,262.06784,3.0205917,0.03829956,3.0208347
12,113.99035,262.02307,117.001656,261.99234,3.0113068,-0.030731201,3.0114634
12,107.00657,228.97708,110.000854,229.00519,2.9942856,0.02810669,2.9944174
13,74.99446,245.04018,77.96483,243.0233,2.9703674,-2.0168762,3.5903862
13,92.97627,226.98018,95.99719,224.95665,3.0209198,-2.023529,3.636018
13,101.00645,270.9722,104.00993,268.98367,3.0034866,-1.9885254,3.6021056
13,118.99378,244.9954,121.98337,243.00703,2.9895859,-1.9883728,3.5904388
13,96.99031,255.9924,99.9774,253.97313,2.987091,-2.0192719,3.605575
13,76.03205,262.06784,78.98363,260.0391,2.9515762,-2.0287476,3.5815666
13,117.001656,261.99234,120.01767,259.97583,3.016014,-2.01651,3.6280372
13,110.000854,229.00519,113.002815,227.0035,3.0019608,-2.0016937,3.6081223
14,77.96483,243.0233,80.960175,241.01613,2.995346,-2.0071716,3.6056674
14,95.99719,224.95665,99.0012,222.95447,3.0040054,-2.002182,3.6100943
14,104.00993,268.98367,106.99164,266.9979,2.9817047,-1.9857788,3.5824406
14,121.98337,243.00703,124.98736,241.01253,3.0039902,-1.9945068,3.6058307
14,99.9774,253.97313,102.989784,251.99582,3.0123825,-1.9773102,3.6033602
