scenario,method,detections,mean_displacement,median_displacement,p95_displacement,max_displacement,mean_area,mean_points_per_frame
synthetic_clean_1,frame_difference,176,7.6213001982142226,7.615773105863909,14.317821063276353,18.681541692269406,2782.9829545454545,
synthetic_clean_1,lucas_kanade,179,6.6891770362854,7.279892921447754,9.487194490432739,9.499688148498535,,8.0
synthetic_clean_2,frame_difference,174,10.436935471489209,5.0,30.01666203960727,55.14526271584895,3388.2816091954023,
synthetic_clean_2,lucas_kanade,179,4.239102363586426,4.243590354919434,5.830089426040649,5.846732139587402,,6.0
synthetic_noisy_1,frame_difference,176,7.845418044689189,7.615773105863909,15.297058540778355,27.018512172212592,2771.0482954545455,
synthetic_noisy_1,lucas_kanade,179,6.68906831741333,7.28149938583374,9.494236612319947,9.558542251586914,,8.0
synthetic_noisy_2,frame_difference,174,11.348261564820422,5.0,31.04834939252005,58.137767414994535,3269.712643678161,
synthetic_noisy_2,lucas_kanade,179,4.752523899078369,4.238456726074219,11.433777475357052,44.41962432861328,,14.022346368715084
synthetic_light_change_1,frame_difference,176,7.925177223541091,7.615773105863909,15.297058540778355,25.709920264364882,2636.5113636363635,
synthetic_light_change_1,lucas_kanade,179,6.688920021057129,7.279391288757324,9.487752199172974,9.571553230285645,,8.0
synthetic_light_change_2,frame_difference,158,11.705856748071966,5.0,31.25699921617557,58.034472514187634,2282.5664556962024,
synthetic_light_change_2,lucas_kanade,179,4.239080905914307,4.24411678314209,5.830463838577271,5.868934154510498,,6.0
synthetic_fast_1,frame_difference,173,12.726926280748673,13.92838827718412,17.08800749063506,45.0,3285.893063583815,
synthetic_fast_1,lucas_kanade,179,11.258455276489258,12.083139419555664,16.762843513488768,17.092954635620117,,8.0
synthetic_fast_2,frame_difference,163,11.022870967870611,8.031128874149275,29.94999999999999,55.14526271584895,3340.260736196319,
synthetic_fast_2,lucas_kanade,179,6.364868640899658,6.995796203613281,9.43451805114746,10.00241470336914,,6.0
